title,company,experience,salary,locations,description,industry,employment_type,skills,scraped_at
Data Architect,Tata Consultancy Services,10 - 12 years,Not Disclosed,"Hyderabad, Pune, Mumbai (All Areas)","Location- Hyderabad/Pune/Mumbai/Nagpur\n\nPreferred candidate profile\nDatawarehousing knowledge\nExperience in Data Lake, Azure Synapse, ADF, SQL\nIssue resolution related to Data pipelines built using Azure Databricks, PySpark, Azure Data Factory, Azure SQLdb, ADLS, ARM templates, Azure Functions",,,"Azure Synapse, Azure Cloud, Data Lake, Data Warehousing, Azure Data Factory, SQL",2026-03-02 23:45:38
Data Architect,Quest Global,3 - 8 years,Not Disclosed,Chennai,"Role & responsibilities\nData Warehousing & Big Data\nData Modeling (Conceptual, Logical, Physical)\nAWS /Azure Data Platforms\nSnowflake\nSQL & NoSQL\nKafka/Kinesis",,,"Azure, Big Data, Data Warehousing, Data Modeling, AWS, NoSQL, Snowflake, Kafka, Data Architecture, Security, SQL",2026-03-02 23:45:42
Data Architect,Accenture,7 - 11 years,Not Disclosed,Bengaluru,"About The Role  \n\n\n\nProject Role :Data Architect\n\n\n\n\nProject Role Description :Define the data requirements and structure for the application. Model and design the application data structure, storage and integration.\n\n\nMust have skills :Microsoft Power Business Intelligence (BI)\n\n\n\nGood to have skills :NA\nMinimum\n\n5 year(s) of experience is required\n\n\n\nEducational Qualification :15 years full time education\n\n\n\n\nSummary-Advanced Visualization Lead (Power BI) As an application lead, you will define the data requirements and structure for the application. Your typical day will involve modeling and designing the application data model and reporting ensuring that the report architecture aligns with business objectives and supports efficient data management practices. You will collaborate with various stakeholders to gather requirements and translate them into effective data solutions, contributing to the overall success of the projects you are involved in.Roles & Responsibilities:- Expected to be an SME.- Collaborate and manage the team to perform.- Responsible for team decisions.- Engage with multiple teams and contribute on key decisions.- Provide solutions to problems for their immediate team and across multiple teams.- Facilitate knowledge sharing and mentoring within the team to enhance overall performance.- Develop and maintain documentation related to data architecture and design processes.Professional & Technical\n\n\nSkills:\n- Must Have\n\n\nSkills:\nProficiency in Microsoft Power Business Intelligence (BI).- Strong analytical, problem-solving skills to interpret complex data sets and derive meaningful insights. -Strong development skills in MS PBI along with expertise in Dax expressions, SQL.\nStrong understanding of data modeling techniques and best practices.- Experience with data integration tools and ETL processes.- Familiarity with cloud data storage solutions and architectures.- Ability to analyze and optimize performance improvements.\nAdditional Information:The candidate should have minimum 7.5 years of experience in Microsoft Power Business Intelligence (BI).A 15-year full time education is required.\n\n Qualification 15 years full time education",Industry Type: IT Services & Consulting,"Employment Type: Full Time, Permanent","business intelligence, sql, data modeling, dax, etl, joining formalities, screening, hr generalist activities, hrsd, sourcing, hr operations, staffing, it recruitment, employee engagement, recruitment, onboarding, payroll",2026-03-02 23:45:45
Data Architects (.Net Kafka)_Pan India_10+ years_HCL,HCLTech,10 - 20 years,Not Disclosed,"Hyderabad, Chennai, Bengaluru","HI,\nGreetings for the day !!!\nWe at HCL are looking for Architects with exp in .Net and KAFKA.\nLocation: Chennai, Noida, Bangalore, Hyderabad\nIf interested reach us on srikanth.domala@hcltech.com\nProvide us the details below:\nTotal years of exp:\nExp in Kafka:",,,"Azure Functions, Kafka, .Net",2026-03-02 23:45:48
Data Architect,Accenture,7 - 11 years,Not Disclosed,Bengaluru,"About The Role  \n\n\n\nProject Role :Data Architect\n\n\n\n\nProject Role Description :Define the data requirements and structure for the application. Model and design the application data structure, storage and integration.\n\n\nMust have skills :Microsoft Azure Analytics Services\n\n\n\nGood to have skills :NA\nMinimum\n\n15 year(s) of experience is required\n\n\n\nEducational Qualification :15 years full time education\n\n\n\nSummary:As a Data Architect, you will define the data requirements and structure for the application. Your typical day will involve modeling and designing the application data structure, storage, and integration, ensuring that the architecture aligns with business needs and technical specifications. You will collaborate with various teams to ensure that data flows seamlessly and efficiently throughout the organization, while also addressing any challenges that arise in the data management process. Your role will be pivotal in shaping the data landscape of the organization, enabling informed decision-making and strategic planning. Roles & Responsibilities:A.Function as the Lead Data Architect for a small, simple project/proposal or as a team lead for medium/large sized project or proposalB.Discuss specific Big data architecture and related issues with client architect/team (in area of expertise)C.Analyze and assess the impact of the requirements on the data and its lifecycleD.Lead Big data architecture and design medium-big Cloud based, Big Data and Analytical Solutions using Lambda architecture.E.Breadth of experience in various client scenarios and situationsF.Experienced in Big Data Architecture-based sales and deliveryG.Thought leadership and innovationH.Lead creation of new data assets & offeringsI.Experience in handling OLTP and OLAP data workloads Professional & Technical\n\nSkills:\nA.Strong experience in Azure is preferred with hands-on experience in two or more of these skills :Azure Synapse Analytics, Azure HDInsight, Azure Databricks with PySpark / Scala / SparkSQL, Azure Analysis ServicesB.Experience in one or more Real-time/Streaming technologies including:Azure Stream Analytics, Azure Data Explorer, Azure Time Series Insights, etc.C.Experience in handling medium to large Big Data implementationsD.Candidate must have around 5 years of extensive Big data experienceE.Candidate must have 15 years of IT experience and around 5 years of extensive Big data experience (design + build)\nAdditional Information:A.Should be able to drive the technology design meetings, propose technology design and architecture B.Should have excellent client communication skillsC.Should have good analytical and problem-solving skills\n\n Qualification 15 years full time education",Industry Type: IT Services & Consulting,"Employment Type: Full Time, Permanent","scala, data management, databricks, pyspark, data architecture, sales, strategic planning, analytics, cloud, data architect, lambda, big data, synapse analytics, azure, architecture",2026-03-02 23:45:50
Data Architect,Accenture,8 - 13 years,Not Disclosed,Bengaluru,"Project Role :Data Architect\n\n\nProject Role Description :Define the data requirements and structure for the application. Model and design the application data structure, storage and integration.\nMust have skills :Database Architecture\n\nGood to have skills :NA\nMinimum 7.5 year(s) of experience is required\n\nEducational Qualification :15 years full time education\n\nDatabase SpecialistCareer Level:8Location:Mumbai, Pune, BangaloreAbout the RoleAs a Database Specialist, you will play a critical role in designing and optimizing data architectures that power business applications. Your day will involve defining and evolving logical and physical database models, monitoring and tuning performance through indexing and query optimization, and implementing robust backup strategies. You ll collaborate closely with application teams, DevOps, and infrastructure to ensure seamless integration and support for enterprise systems. This role also demands expertise in ETL processes, data modeling, and performance tuning, along with familiarity with distributed computing, cloud-based databases, and modern storage architectures.Responsibilities Define and evolve logical and physical database models contribute to system data architecture decisions. Monitor and tune databases for optimal performance, including indexing, query optimization, and resource management. Design and implement robust backup and recovery strategies. Architect and maintain IDVS metadata and configuration databases. Optimize queries for real-time document validation and reporting. Implement secure storage and indexing strategies for digitized documents. Ensure compliance with data governance and audit requirements. Collaborate with application teams, DevOps, and infrastructure to ensure seamless integration and support for business applications. Manage ETL processes, data modelling, and performance tuning for large-scale systems. Work with distributed computing environments and cloud-based database/storage architectures.Required Skills Database Design & Modeling (5??7 years):Expertise in logical and physical modeling, schema design, and normalization. Performance Optimization (4??6 years):Strong skills in indexing, query tuning, and resource management. Backup & Recovery (3??5 years):Experience implementing secure and reliable strategies. ETL & Data Integration (3??5 years):Hands-on experience with ETL tools and data pipelines. Cloud & Distributed Systems (2??4 years):Familiarity with Azure SQL, AWS RDS, or similar platforms. Collaboration & DevOps (2??3 years):Ability to work with cross-functional teams and CI/CD environments. Strong knowledge of API-based data exchange and SFTP integrations.\nQualifications Bachelor s or Master s degree in Computer Science, Information Systems, or related field. 6??8 years of experience in database administration and architecture. Exposure to enterprise-scale systems and cloud-based database solutions preferred.\nQualification15 years full time education",Industry Type: IT Services & Consulting,"Employment Type: Full Time, Permanent","data architect, rds, database administration, sql, aws rds, database design, query optimization, data modeling, compliance, devops, backup and recovery, data governance, performance optimization, aws, etl, data integration, azure",2026-03-02 23:45:53
Data Architect,Accenture,7 - 11 years,Not Disclosed,Bengaluru,"About The Role  \n\n\n\nProject Role :Data Architect\n\n\n\n\nProject Role Description :Define the data requirements and structure for the application. Model and design the application data structure, storage and integration.\n\n\nMust have skills :Data Architecture Principles\n\n\n\nGood to have skills :NA\nMinimum\n\n7.5 year(s) of experience is required\n\n\n\nEducational Qualification :15 years full time education\n\n\n\n\nSummary:As a Data Architect, you will define the data requirements and structure for the application. Your typical day will involve modeling and designing the application data structure, storage, and integration, ensuring that the data architecture aligns with the overall business objectives and technical specifications. You will collaborate with various teams to ensure that the data architecture supports the applications functionality and performance needs, while also considering scalability and security aspects. Engaging with stakeholders, you will gather requirements and translate them into effective data solutions, contributing to the overall success of the project. Roles & Responsibilities:- Expected to be an SME.- Collaborate and manage the team to perform.- Responsible for team decisions.- Engage with multiple teams and contribute on key decisions.- Provide solutions to problems for their immediate team and across multiple teams.- Develop and maintain comprehensive documentation of data architecture and design decisions.- Mentor junior professionals in best practices and emerging trends in data architecture. Professional & Technical\n\n\nSkills:\n-\n\nMust To Have\n\n\nSkills:\nProficiency in Data Architecture Principles.- Strong understanding of data modeling techniques and methodologies.- Experience with data integration tools and ETL processes.- Familiarity with cloud data architecture and services.- Knowledge of database management systems and data warehousing concepts.\n\nAdditional Information:- The candidate should have minimum 7.5 years of experience in Data Architecture Principles.- This position is based at our Bengaluru office.- A 15 years full time education is required.\n\n Qualification 15 years full time education",Industry Type: IT Services & Consulting,"Employment Type: Full Time, Permanent","data warehousing, data architecture, data architecture principles, data modeling, etl, python, oracle, informatica powercenter, sql server, sql, plsql, database management, etl tool, dwbi, data warehousing concepts, data integration, informatica, unix, etl process",2026-03-02 23:45:57
Data Architect,Virtusa,10 - 15 years,Not Disclosed,Hyderabad,"Design, develop, and maintain efficient and reliable data pipelines using Java, Scala, Apache Spark and Confluent Cloud (Kafka, KStreams, kSQLDB, Schema Registry)\nLeverage Apache Spark (Java/Scala) for large-scale data processing and transformation.\nExperience with building, maintaining and debugging applications and data pipelines using Confluent Cloud (Kafka, KStreams, kSQLDB, Schema Registry).\nBuild and optimize data storage solutions using NoSQL databases such as ScyllaDB and/or Cassandra.\nExperienced with AWS services required for Data Engineering such as EMR, ServerlessEMR, AWS Glue, CodeCommit, EC2, S3 etc.",,,"Data Architect, Airflow, S3, Java, Data Engineering, Data Pipelines, Architecture, Github, Scala, Debugging, Cassandra, Kafka, Apache Spark, Nosql, Data Quality, Docker, Elasticsearch, Ec2, Nosql Databases, Spark, Aws, Data Governance",2026-03-02 23:46:00
Data Architect,Accenture,7 - 11 years,Not Disclosed,Bengaluru,"About The Role  \n\n\n\nProject Role :Data Architect\n\n\n\n\nProject Role Description :Define the data requirements and structure for the application. Model and design the application data structure, storage and integration.\n\n\nMust have skills :Databricks Unified Data Analytics Platform\n\n\n\nGood to have skills :NA\nMinimum\n\n7.5 year(s) of experience is required\n\n\n\nEducational Qualification :15 years full time education\n\n\n\n\nSummary:As a Data Architect, you will define the data requirements and structure for the application. Your typical day will involve modeling and designing the application data structure, storage, and integration, ensuring that the data architecture aligns with the overall business objectives and technical specifications. You will collaborate with various teams to ensure that the data architecture is robust, scalable, and efficient, while also addressing any challenges that arise during the development process. Your role will be pivotal in shaping the data landscape of the organization, enabling data-driven decision-making and fostering innovation through effective data management practices. Responsibilities:Develop high-quality, scalable ETL/ELT pipelines using Databricks technologies including Delta Lake, Auto Loader, and DLT.Excellent programming and debugging skills in Python.Strong hands-on experience with Py Spark to build efficient data transformation and validation logic.Must be proficient in at least one cloud platform:AWS, GCP, or Azure.Create modular DBX functions for transformation, PII masking, and validation logic reusable across DLT and notebook pipelines.Implement ingestion patterns using Auto Loader with checkpointing and schema evolution for structured and semi-structured data.Build secure and observable DLT pipelines with DLT Expectations, supporting Bronze/Silver/Gold medallion layering.Configure Unity Catalog:set up catalogs, schemas, user/group access, enable audit logging, and define masking for PII fields.Enable secure data access across domains and workspaces via Unity Catalog External Locations, Volumes, and lineage tracking.Access and utilize data assets from the Databricks Marketplace to support enrichment, model training, or benchmarking.Collaborate with data sharing stakeholders to implement Delta Sharing both internally and externally.Integrate Power BI/Tableau/Looker with Databricks using optimized connectors (ODBC/JDBC) and Unity Catalog security controls.Build stakeholder-facing SQL Dashboards within Databricks to monitor KPIs, data pipeline health, and operational SLAs.Prepare Gen AI-compatible datasets:manage vector embeddings, index with Databricks Vector Search, and use Feature Store with ML flow.Package and deploy pipelines using Databricks Asset Bundles through CI/CD pipelines in GitHub or GitLab.Troubleshoot, tune, and optimize jobs using Photon engine and serverless compute, ensuring cost efficiency and SLA reliability.Experience with cloud-based services relevant to data engineering, data storage, data processing, data warehousing, real-time streaming, and serverless computing.Hands on Experience in applying Performance optimization techniquesUnderstanding data modeling and data warehousing principles is essential.Nice to Have:1.Certifications:Databricks Certified Professional or similar certifications.2.Machine Learning:Knowledge of machine learning concepts and experience with popular ML libraries.3.Knowledge of big data processing (e.g., Spark, Hadoop, Hive, Kafka)4.Data Orchestration:Apache Airflow.5.Knowledge of CI/CD pipelines and DevOps practices in a cloud environment.6.Experience with ETL tools like Informatica, Talend, Mati Llion, or Five Tran.7.Familiarity with DBT (Data Build Tool)\n\nAdditional Information:- The candidate should have minimum 7.5 years of experience in Databricks Unified Data Analytics Platform.- This position is based at our Bengaluru office.\nEducational Qualification:- 15 years full time education is required.\n\n Qualification 15 years full time education",Industry Type: IT Services & Consulting,"Employment Type: Full Time, Permanent","pyspark, data warehousing, data modeling, python, data analytics, hive, continuous integration, ci/cd, spark, gcp, devops, debugging, hadoop, etl, ATCI-5062506-S1872938, airflow, talend, microsoft azure, machine learning, cloud platform, data bricks, tableau, kafka, gitlab, aws, informatica",2026-03-02 23:46:02
Data Architect,Accenture,7 - 11 years,Not Disclosed,Bengaluru,"About The Role  \n\n\n\nProject Role :Data Architect\n\n\n\n\nProject Role Description :Define the data requirements and structure for the application. Model and design the application data structure, storage and integration.\n\n\nMust have skills :Databricks Unified Data Analytics Platform\n\n\n\nGood to have skills :NA\nMinimum\n\n7.5 year(s) of experience is required\n\n\n\nEducational Qualification :15 years full time education\n\n\n\n\nSummary:As a Data Architect, you will define the data requirements and structure for the application. Your typical day will involve modeling and designing the application data structure, storage, and integration, ensuring that the data architecture aligns with the overall business objectives and technical specifications. You will collaborate with various teams to ensure that the data architecture is robust, scalable, and efficient, while also addressing any challenges that arise during the development process. Your role will be pivotal in shaping the data landscape of the organization, enabling data-driven decision-making and fostering innovation through effective data management practices. Responsibilities:Develop high-quality, scalable ETL/ELT pipelines using Databricks technologies including Delta Lake, Auto Loader, and DLT.Excellent programming and debugging skills in Python.Strong hands-on experience with Py Spark to build efficient data transformation and validation logic.Must be proficient in at least one cloud platform:AWS, GCP, or Azure.Create modular DBX functions for transformation, PII masking, and validation logic reusable across DLT and notebook pipelines.Implement ingestion patterns using Auto Loader with checkpointing and schema evolution for structured and semi-structured data.Build secure and observable DLT pipelines with DLT Expectations, supporting Bronze/Silver/Gold medallion layering.Configure Unity Catalog:set up catalogs, schemas, user/group access, enable audit logging, and define masking for PII fields.Enable secure data access across domains and workspaces via Unity Catalog External Locations, Volumes, and lineage tracking.Access and utilize data assets from the Databricks Marketplace to support enrichment, model training, or benchmarking.Collaborate with data sharing stakeholders to implement Delta Sharing both internally and externally.Integrate Power BI/Tableau/Looker with Databricks using optimized connectors (ODBC/JDBC) and Unity Catalog security controls.Build stakeholder-facing SQL Dashboards within Databricks to monitor KPIs, data pipeline health, and operational SLAs.Prepare Gen AI-compatible datasets:manage vector embeddings, index with Databricks Vector Search, and use Feature Store with ML flow.Package and deploy pipelines using Databricks Asset Bundles through CI/CD pipelines in GitHub or GitLab.Troubleshoot, tune, and optimize jobs using Photon engine and serverless compute, ensuring cost efficiency and SLA reliability.Experience with cloud-based services relevant to data engineering, data storage, data processing, data warehousing, real-time streaming, and serverless computing.Hands on Experience in applying Performance optimization techniquesUnderstanding data modeling and data warehousing principles is essential.Nice to Have:1.Certifications:Databricks Certified Professional or similar certifications.2.Machine Learning:Knowledge of machine learning concepts and experience with popular ML libraries.3.Knowledge of big data processing (e.g., Spark, Hadoop, Hive, Kafka)4.Data Orchestration:Apache Airflow.5.Knowledge of CI/CD pipelines and DevOps practices in a cloud environment.6.Experience with ETL tools like Informatica, Talend, Mati Llion, or Five Tran.7.Familiarity with DBT (Data Build Tool)\n\nAdditional Information:- The candidate should have minimum 7.5 years of experience in Databricks Unified Data Analytics Platform.- This position is based at our Bengaluru office.\nEducational Qualification:- 15 years full time education is required.\n\n Qualification 15 years full time education",Industry Type: IT Services & Consulting,"Employment Type: Full Time, Permanent","pyspark, data warehousing, data modeling, python, data analytics, hive, continuous integration, ci/cd, spark, gcp, devops, debugging, hadoop, etl, airflow, talend, microsoft azure, machine learning, cloud platform, data bricks, tableau, kafka, ATCI-5062515-S1872947, gitlab, aws, informatica",2026-03-02 23:46:06
