title,company,experience,salary,locations,description,industry,department,employment_type,skills,scraped_at
Lead Data Engineer,Wiser Solutions,2 - 3 years,Not Disclosed,['Mysuru'],Wiser Solutions is looking for Lead Data Engineer to join our dynamic team and embark on a rewarding career journey\nLiaising with coworkers and clients to elucidate the requirements for each task.\nConceptualizing and generating infrastructure that allows big data to be accessed and analyzed.\nReformulating existing frameworks to optimize their functioning.\nTesting such structures to ensure that they are fit for use.\nPreparing raw data for manipulation by data scientists.\nDetecting and correcting errors in your work.\nEnsuring that your work remains backed up and readily accessible to relevant coworkers.\nRemaining up-to-date with industry standards and technological advancements that will improve the quality of your outputs.,Industry Type: Software Product,Department: Engineering - Software & QA,"Employment Type: Full Time, Permanent","['hive', 'cloudera', 'python', 'data analysis', 'scala', 'oozie', 'airflow', 'data warehousing', 'pyspark', 'apache pig', 'machine learning', 'data engineering', 'sql', 'mapreduce', 'spark', 'hadoop', 'sqoop', 'big data', 'aws', 'etl', 'hbase']",2025-07-01 05:48:57
Data Engineer,Aspire Talent Innovations,2 - 7 years,Not Disclosed,"['Chandigarh', 'Bengaluru']","As the Data Engineer, you will play a pivotal role in shaping our data infrastructure and\nexecuting against our strategy. You will ideate alongside engineering, data and our clients to\ndeploy data products with an innovative and meaningful impact to clients. You will design, build,\nand maintain scalable data pipelines and workflows on AWS. Additionally, your expertise in AI\nand machine learning will enhance our ability to deliver smarter, more predictive solutions.\nKey Responsibilities\nCollaborate with other engineers, customers to brainstorm and develop impactful data\nproducts tailored to our clients.\nLeverage AI and machine learning techniques to integrate intelligent features into our\nofferings.\nDevelop, and optimize end-to-end data pipelines on AWS\nFollow best practices in software architecture and development.\nImplement effective cost management and performance optimization strategies.\nDevelop and maintain systems using Python, SQL, PySpark, and Django for front-end\ndevelopment.\nWork directly with clients and end-users and address their data needs\nUtilize databases and tools including and not limited to, Postgres, Redshift, Airflow, and\nMongoDB to support our data ecosystem.\nLeverage AI frameworks and libraries to integrate advanced analytics into our solutions.\nQualifications\n\nExperience:\nMinimum of 3 years of experience in data engineering, software development, or\nrelated roles.\nProven track record in designing and deploying AWS cloud infrastructure\nsolutions\nAt least 2 years in data analysis and mining techniques to aid in descriptive and\ndiagnostic insights\nExtensive hands-on experience with Postgres, Redshift, Airflow, MongoDB, and\nreal-time data workflows.\n\nTechnical Skills:\nExpertise in Python, SQL, and PySpark\nStrong background in software architecture and scalable development practices.\nTableau, Metabase or similar viz tools experience\nWorking knowledge of AI frameworks and libraries is a plus.\nLeadership & Communication:\nDemonstrates ownership and accountability for delivery with a strong\ncommitment to quality.\nExcellent communication skills with a history of effective client and end-user\nengagement.\nStartup & Fintech Mindset:\nAdaptability and agility to thrive in a fast-paced, early-stage startup environment.\nPassion for fintech innovation and a strong desire to make a meaningful impact\non the future of finance.\nLocation Remote, Chandigarh,Bengaluru",Industry Type: Software Product,Department: Data Science & Analytics,"Employment Type: Full Time, Permanent","['PySpark', 'Python', 'SQL', 'Airflow', 'MongoDB', 'Postgres', 'AWS', 'Redshift']",2025-07-01 05:48:59
Senior Data Engineer,HTC Global Services,8 - 13 years,Not Disclosed,['Gurugram'],"About The Role\nSeeking a highly skilled Senior Data Engineer with 8 years of experience to join our dynamic team\n\nRequirements\nExperienced in architecting, building and maintaining end-to-end data pipelines using Python and Spark in Databricks\nProficient in designing and implementing scalable data lake and data warehouse solutions on Azure including Azure Data Lake, Data Factory, Synapse and Azure SQL\nHands on experience in leading the integration of complex data sources and the development of efficient ETL processes\nChampion best practices in data governance, data quality and data security across the organization\nAdept in collaborating closely with data scientists, analysts and business stakeholders to deliver high-impact data solutions",,,,"['data bricks', 'azure data lake', 'spark', 'microsoft azure', 'datafactory', 'warehouse', 'data lake']",2025-07-01 05:49:01
Salesforce Data Cloud Developer,Genpact,7 - 11 years,Not Disclosed,"['New Delhi', 'Jaipur', 'Bengaluru']","Inviting applications for the role of Principle Consultant, Salesforce Developer- Data Cloud\nIn this role you will be responsible for designing, developing, and implementing solutions using Data Cloud and Salesforce OMS primarily. Salesforce Developer with a strong understanding of Agentforce and hands on development experience of Data Cloud.\n\nResponsibilities:\nData Cloud Development (Essential):",,,,"['Data Cloud', 'Marketing Cloud', 'Salesforce']",2025-07-01 05:49:04
Data Engineer,Godrej Industries,3 - 8 years,Not Disclosed,['Mumbai'],"Data Pipeline Development : Design, develop, and optimize data pipelines to ingest, process, and transform data from various sources (e.g., APIs, databases, into the data warehouse.\nData Integration: Integrate data from various structured and unstructured sources into the Databricks Lakehouse environment, ensuring data accuracy and reliability\nData Lakehouse & storage Management: Design and maintain data warehouse solutions using medallion architecture practices, optimizing storage, cloud utilization, costs and query performance\nCollaboration with Data Teams : Work closely with data scientists, analysts, to understand requirements, translate them into technical solutions, and implement data solutions.\nData Quality and Monitoring : Cleanse, transform, and enrich data. Implement data quality checks and establish monitoring processes to ensure data integrity and accuracy. Implement monitoring for data pipelines and troubleshoot any issues or failures promptly to ensure data reliability.\nOptimization and Performance Tuning: Optimize data processing workflows for performance, reliability, and scalability, including tuning spark jobs, caching, and partitioning data appropriately.\nData Security and Privacy : Manage and organize data lakes using Unity catalog, ensuring proper governance, security, role-based access and compliance with data management policies.\nKey Skills:\nTechnical Skills:\nProficiency with Databricks Lakehouse platform, Delta Lake, Genie, ML Flow (e.g., Databricks Certified Data Engineer Associate) is a plus.\nSQL and NoSQL: Experienced working with both SQL and NoSQL data sources (e.g., MySQL, PostgreSQL, MongoDB etc.)\nStrong knowledge of Spark, especially in PySpark or Scala, for data transformation.\nProficiency in Python, R and other programming languages used in data processing.\nExperience with cloud platforms like Azure, AWS, particularly Azure storage & services\nKnowledge of ML Pipelines, data streaming platforms (e.g., Apache Kafka, AWS Kinesis).\nFamiliarity with data visualization tools (e.g., Tableau, Power BI, Looker)\nEducational Qualification:\nEducation: Bachelor s degree in Computer Science, Engineering/MCA, or a related field (Master s preferred)\n3+ years of experience as a Data Engineer, with hands-on experience in Databricks\nExperience:\nSeeking a skilled Data Engineer with expertise in Databricks on Azure (ADF, ADLS) to join our data team. As a Data Engineer, you will work with both structured and unstructured data. You will be responsible for designing, building, and maintaining scalable and reliable data pipelines that support business intelligence, data analytics, and machine learning efforts. You will collaborate closely with data scientists, analysts, and cross-functional teams to ensure data is available, accurate, and optimized for processing and storage.\nWhat s in it for you\nBe an equal parent\nMaternity support, including paid leave ahead of statutory guidelines, and flexible work options on return\nPaternity support, including paid leave\nNew mothers can bring a caregiver and children under a year old, on work travel\nAdoption support; gender neutral and based on the primary caregiver, with paid leave options\nNo place for discrimination at Godrej\nGender-neutral anti-harassment policy\nSame sex partner benefits at par with married spouses\nGender transition support\nWe are selfish about your wellness\nComprehensive health insurance plans, as well as accident coverage for you and your family, with top-up options\nUncapped sick leave\nMental wellness and self-care programmes, resources and counselling\nCelebrating wins, the Godrej Way\nStructured recognition platforms for individual, team and business-level achievements\nPerformance-based earning opportunities\nhttps: / / www.godrejcareers.com / benefits /\nAn inclusive Godrej\nBefore you go, there is something important we want to highlight. There is no place for discrimination at Godrej. Diversity is the philosophy of who we are as a company. And has been for over a century. It s not just in our DNA and nice to do. Being more diverse - especially having our team members reflect the diversity of our businesses and communities - helps us innovate better and grow faster. We hope this resonates with you.\nWe take pride in being an equal opportunities employer. We recognise merit and encourage diversity. We do not tolerate any form of discrimination on the basis of nationality, race, colour, religion, caste, gender identity or expression, sexual orientation, disability, age, or marital status and ensure equal opportunities for all our team members.\nIf this sounds like a role for you, apply now!\nWe look forward to meeting you.",Industry Type: Chemicals,Department: Data Science & Analytics,"Employment Type: Full Time, Permanent","['Computer science', 'Data management', 'Nutrition', 'MySQL', 'Machine learning', 'Life sciences', 'Monitoring', 'agrochemical', 'SQL', 'Python']",2025-07-01 05:49:06
Senior Data Engineer,Swiss Re,7 - 12 years,Not Disclosed,['Bengaluru'],"Senior Data Engineer - Palantir Foundry\nBuild data & analytics products that shape and steer Swiss Re Group Digital and Transformation\n\nSwiss Re | Bengaluru | Hybrid (up to two remote days each week, your choice)\nAbout the Team\nInfoTech Data & Analytics is part of Group Data Services (Digital & Tech) and links almost 70 data sources to give Swiss Re clear, trusted insight for steering group operations. The team is composed of an international workforce based in Bengaluru, Zurich and Bratislava, serving a global consumer base.\nWe work extensively with Palantir Foundry, Azure Synapse Analytics, and PySpark for large-scale data processing, building scalable and distributed analytics.\nWe are an outcome-focused crew, enjoy tackling the toughest data engineering and analytics challenges and believe in learning, failing & growing together. We work close to our internal customers to drive the best business value and appreciate proactiveness and taking ownership.\nAbout the Role\nWe design and build robust data pipelines, teaming up with data consumers and cross-functional squads on Azure Synapse and our strategic analytics powerhouse Palantir Foundry. Our data and analytics products range from simple ad-hoc datasets and all the way up to analytics applications handling complex topics such as people demand and planning, strategic workforce planning, IT cost and consumption and are used across Swiss Re.\nKey responsibilities\nDesign and implement data pipelines in collaboration with our data users and other internal teams, including hands-on development and solutioning\nEnsure reliability , data quality and optimal performance of our data assets in Foundry (or Azure process flow)\nTranspose complex business requirements into high-quality data asset & capability delivery\nDeliver high-quality code using mainly PySpark / Python, also SQL and Typescript, focusing on simplicity , reusability , performance , and maintainability\nOptimize Spark jobs for efficiency and minimal cost\nWork with solution engineers, data scientists and product owners to deliver end-to-end data products\nSupport emerging AI and ML capabilities\nAbout You\n7+ years in data engineering, transformation & analysis with proficiency in programming & scripting languages\nHands-on expertise with any of the Cloud platforms like Azure, or Palantir Foundry (any other cloud platform works, if you are interested in learning more!)\nStrong Python/ PySpark / Scala skills along with in-depth knowledge of SQL\nWorking knowledge of Azure Synapse Analytics, Azure Data Lake and Azure SQL (or similar knowledge of data-oriented cloud services)\nConceptual knowledge around system design, data structures, scalable storage solutions, security constraints and cloud infrastructure\nYou have a knack for solving problems, clarity of thought process, and experience to be able to work around data transformation models and know what great assets, data can be!\nNice to have\nData visualization experience, or have built dashboards or apps on Workshop/ Power BI etc.\nTypeScript for Functions in Foundry or Slate front-end work\nHave a DevSecOps mindset, basic understanding of DevOps tools\nWork with Palantir AIP for Data science/ AI / ML\nBasic machine-learning or statistics knowledge\nPalantir Foundry or Azure Data Engineer certificate\nWhat We Offer\nHybrid work with up to two remote days each week\nModern Bengaluru office, and a global peer network\nAnnual bonus linked to company and personal goals\n18 days annual leave plus local holidays\nInsured Benefits: Group Mediclaim Cover, Group Personal Accident Cover, Group Term Life Cover\nSwiss Re is an equal-opportunity employer - Apply today!\nAbout Swiss Re\nSwiss Re is one of the world s leading providers of reinsurance, insurance and other forms of insurance-based risk transfer, working to make the world more resilient. We anticipate and manage a wide variety of risks, from natural catastrophes and climate change to cybercrime. We cover both Property & Casualty and Life & Health. Combining experience with creative thinking and cutting-edge expertise, we create new opportunities and solutions for our clients. This is possible thanks to the collaboration of more than 14,000 employees across the world.\n\n\n\nIf you are an experienced professional returning to the workforce after a career break, we encourage you to apply for open positions that match your skills and experience.\nKeywords:\nReference Code: 134457",Industry Type: Insurance,Department: Data Science & Analytics,"Employment Type: Full Time, Permanent","['Reinsurance', 'Machine learning', 'Cloud', 'Data processing', 'System design', 'Data structures', 'Data analytics', 'data visualization', 'Analytics', 'SQL']",2025-07-01 05:49:08
Senior Data Engineer,Barclays,8 - 13 years,Not Disclosed,['Pune'],"Join Barclays as a Senior Data Engineer\nAt Barclays, we are building the bank of tomorrow\nAs a Strategy and Transformation Lead you will build and maintain the systems that collect, store, process, and analyse data, such as data pipelines, data warehouses and data lakes to ensure that all data is accurate, accessible, and secure\n\nTo be a successful Senior Data Engineer, you should have experience with:\nHands on experience to work with large scale data platforms & in development of cloud solutions in AWS data platform with proven track record in driving business success\n\nStrong understanding of AWS and distributed computing paradigms, ability to design and develop data ingestion programs to process large data sets in Batch mode using Glue, Lambda, S3, redshift and snowflake and data bricks\n\nAbility to develop data ingestion programs to ingest real-time data from LIVE sources using Apache Kafka, Spark Streaming and related technologies\nHands on programming experience in python and PY-Spark\n\nUnderstanding of Dev Ops Pipelines using Jenkins, GitLab & should be strong in data modelling and Data architecture concepts & well versed with Project management tools and Agile Methodology\n\nSound knowledge of data governance principles and tools (alation/glue data quality, mesh), Capable of suggesting solution architecture for diverse technology applications\n\nAdditional Relevant Skills Given Below Are Highly Valued\nExperience working in financial services industry & working in various Settlements and Sub ledger functions like PNS, Stock Record and Settlements, PNL\n\nKnowledge in BPS, IMPACT & Gloss products from Broadridge & creating ML model using python, Spark & Java\n\nYou may be assessed on key critical skills relevant for success in role, such as risk and controls, change and transformation, business acumen, strategic thinking and digital and technology, as well as job-specific technical skills\n\nThis role is based in Pune\n\nPurpose of the role\nTo build and maintain the systems that collect, store, process, and analyse data, such as data pipelines, data warehouses and data lakes to ensure that all data is accurate, accessible, and secure\n\nAccountabilities\nBuild and maintenance of data architectures pipelines that enable the transfer and processing of durable, complete and consistent data\n\nDesign and implementation of data warehoused and data lakes that manage the appropriate data volumes and velocity and adhere to the required security measures\n\nDevelopment of processing and analysis algorithms fit for the intended data complexity and volumes\n\nCollaboration with data scientist to build and deploy machine learning models\n\nVice President Expectations\nTo contribute or set strategy, drive requirements and make recommendations for change\nPlan resources, budgets, and policies; manage and maintain policies/ processes; deliver continuous improvements and escalate breaches of policies/procedures\n\n\nIf managing a team, they define jobs and responsibilities, planning for the departments future needs and operations, counselling employees on performance and contributing to employee pay decisions/changes\nThey may also lead a number of specialists to influence the operations of a department, in alignment with strategic as well as tactical priorities, while balancing short and long term goals and ensuring that budgets and schedules meet corporate requirements\n\n\nIf the position has leadership responsibilities, People Leaders are expected to demonstrate a clear set of leadership behaviours to create an environment for colleagues to thrive and deliver to a consistently excellent standard\nThe four LEAD behaviours are: L Listen and be authentic, E Energise and inspire, A Align across the enterprise, D Develop others\n\n\nOR for an individual contributor, they will be a subject matter expert within own discipline and will guide technical direction\nThey will lead collaborative, multi-year assignments and guide team members through structured assignments, identify the need for the inclusion of other areas of specialisation to complete assignments\nThey will train, guide and coach less experienced specialists and provide information affecting long term profits, organisational risks and strategic decisions\n\n\nAdvise key stakeholders, including functional leadership teams and senior management on functional and cross functional areas of impact and alignment\n\nManage and mitigate risks through assessment, in support of the control and governance agenda\n\nDemonstrate leadership and accountability for managing risk and strengthening controls in relation to the work your team does\n\nDemonstrate comprehensive understanding of the organisation functions to contribute to achieving the goals of the business\n\nCollaborate with other areas of work, for business aligned support areas to keep up to speed with business activity and the business strategies\n\nCreate solutions based on sophisticated analytical thought comparing and selecting complex alternatives\nIn-depth analysis with interpretative thinking will be required to define problems and develop innovative solutions\n\nAdopt and include the outcomes of extensive research in problem solving processes\n\nSeek out, build and maintain trusting relationships and partnerships with internal and external stakeholders in order to accomplish key business objectives, using influencing and negotiating skills to achieve outcomes\n\nAll colleagues will be expected to demonstrate the Barclays Values of Respect, Integrity, Service, Excellence and Stewardship our moral compass, helping us do what we believe is right\nThey will also be expected to demonstrate the Barclays Mindset to Empower, Challenge and Drive the operating manual for how we behave",Industry Type: Financial Services,Department: Engineering - Software & QA,"Employment Type: Full Time, Permanent","['snowflake', 'data modeling', 'data governance', 'data architecture', 'project management tools', 'distributed computing', 'agile methodology']",2025-07-01 05:49:10
ML Data Engineer,Derisk360,5 - 8 years,Not Disclosed,['Bengaluru'],"Were Hiring: ML Data Engineer\nExperience: 7+ Years\nLocation: Bangalore / Chennai / Gurugram\nCompany: Derisk360\nAre you passionate about building scalable ML pipelines and deploying intelligent systems in the cloudAt Derisk360, we help transform businesses by combining AI expertise with deep domain knowledge\nWe're seeking a Senior ML Engineer to take our ML infrastructure to the next level using AWS SageMaker and state-of-the-art MLOps practices\n\nWhat Youll Do:\nDevelop, deploy, and manage ML models using AWS SageMaker, including pipelines, real-time endpoints, and batch transform jobs\n\nArchitect infrastructure using Infrastructure as Code (IAC) tools such as Terraform or AWS CloudFormation\n\nBuild robust, scalable solutions across real-time and batch systems with high reliability and performance\n\nDesign secure and scalable AWS networking environments tailored for ML workflows\n\nCollaborate with data scientists, ML engineers, and DevOps to optimize model development and deployment pipelines\n\nContribute to automation, CI/CD pipelines, and monitoring strategies for ML systems\n\nWhat You Bring:\n7+ years of experience in software engineering, with at least 3+ years working on AWS SageMaker in production environments\n\nProficient in AWS services (EC2, S3, Lambda, IAM, VPC, CloudWatch) and deep understanding of AWS networking concepts\n\nSolid experience with Terraform or CloudFormation for IAC implementation\n\nStrong programming skills in Python and hands-on experience with ML frameworks like TensorFlow, PyTorch, or Scikit-learn\n\nFamiliarity with model training, evaluation, versioning, and operationalizing in cloud environments\n\nNice to Have:\nExperience integrating ML workflows with data lakes or data pipelines\n\nExposure to MLOps practices including experiment tracking, model registry, and containerization (Docker)\n\nUnderstanding of security best practices in AWS for machine learning\n\nWhat Youll Get:\nCompetitive salary with performance-based bonuses\nLead innovative ML projects with top-tier insurance and risk-tech clients\nWork in a tech-forward, collaborative environment\nOpportunities to grow within a high-impact, AI-focused team\nAccess to complex cloud-native platforms and enterprise-grade ML systems",Industry Type: IT Services & Consulting,Department: Engineering - Software & QA,"Employment Type: Full Time, Permanent","['python', 'networking concepts', 'terraform', 'iac', 'aws cloudformation', 'aws', 'programming']",2025-07-01 05:49:12
Data Engineer,Acesoft,6 - 9 years,Not Disclosed,['Bengaluru'],"Job Title:\nData Engineer\nExperience Range:\n6-9 years\nLocation : Bengaluru\nNotice period : immediate - 15 days\nJob Summary:\nWe are looking for a skilled Data Engineer to design, build, and maintain robust, scalable data pipelines and infrastructure. This role is essential in enabling data accessibility, quality, and insights across the organization. You will work with modern cloud and big data technologies such as Azure Databricks, Snowflake, and DBT, collaborating with cross-functional teams to power data-driven decision-making.\nKey Responsibilities:\nFor External Candidates:\nData Pipeline Development:\nBuild and optimize data pipelines to ingest, transform, and load data from multiple sources using Azure Databricks, Snowflake, and DBT.\nData Modeling & Architecture:\nDesign efficient data models and structures within Snowflake ensuring optimal performance and accessibility.\nData Transformation:\nImplement standardized and reusable data transformations in DBT for reliable analytics and reporting.\nPerformance Optimization:\nMonitor and tune data workflows for performance, scalability, and fault-tolerance.\nCross-Team Collaboration:\nPartner with data scientists, analysts, and business users to support analytics and machine learning projects with reliable, well-structured datasets.\nAdditional Responsibilities (Internal Candidates):\nImplement and manage CI/CD pipelines using tools such as Jenkins, Azure DevOps, or GitHub.\nDevelop data lake solutions using Scala and Python in a Hadoop/Spark ecosystem.\nWork with Azure Data Factory and orchestration tools to schedule, monitor, and maintain workflows.\nApply deep understanding of Hadoop architecture, Spark, Hive, and storage optimization.\nMandatory Skills:\nHands-on experience with:\nAzure Databricks (data processing and orchestration)\nSnowflake (data warehousing)\nDBT (data transformation)\nAzure Data Factory (pipeline orchestration)\nStrong SQL and data modeling capabilities\nProficiency in Scala and Python for data engineering use cases\nExperience with big data ecosystems: Hadoop, Spark, Hive\nKnowledge of CI/CD pipelines (Jenkins, GitHub, Azure DevOps)\nQualifications:\nBachelors degree in Computer Science, Data Engineering, or a related field\n6–9 years of relevant experience in data engineering or data infrastructure roles",Industry Type: IT Services & Consulting,Department: Engineering - Software & QA,"Employment Type: Full Time, Temporary/Contractual","['Data Engineering', 'Azure Data Factory', 'big data ecosystems', 'data modeling', 'Snowflake', 'DBT', 'Azure Databricks', 'Data Pipeline Development', 'SQL']",2025-07-01 05:49:15
Sr. Data Engineer (MS Fabric),Optimum Data Analytics,5 - 7 years,20-25 Lacs P.A.,"['Mohali', 'Pune', 'Bengaluru']","Required Skills and Experiences:\nCollaborate with cross-functional teams, including data analysts, data scientists, and business\nstakeholders, to understand their data requirements and deliver effective solutions.\nLeverage Fabric Lakehouse for data storage, governance, and processing to support Power BI\nand automation initiatives.\nExpertise in data modeling, with a strong focus on data warehouse and lakehouse design.\nDesign and implement data models, warehouses, and databases using MS Fabric, Azure Synapse\nAnalytics, Azure Data Lake Storage, and other Azure services. • Develop ETL (Extract, Transform,\nLoad) processes using SQL Server Integration Services (SSIS), Azure Synapse Pipelines, or similar\ntools to prepare data for analysis and reporting.\nImplement data quality checks and governance practices to ensure accuracy, consistency, and\nsecurity of data assets.\nMonitor and optimize data pipelines and workflows for performance, scalability, and cost\nefficiency, utilizing Microsoft Fabric for real-time analytics and AI-powered workloads.\nStrong proficiency in Business Intelligence (BI) tools such as Power BI, Tableau, and other\nanalytics platforms.\nExperience with data integration and ETL tools like Azure Data Factory. • Proven expertise in\nMicrosoft Fabric or similar data platforms. • In-depth knowledge of the Azure Cloud Platform,\nparticularly in data warehousing and storage solutions.",Industry Type: IT Services & Consulting,Department: Engineering - Software & QA,"Employment Type: Full Time, Permanent","['Python.', 'Power BI', 'MS Fabric', 'Azure Cloud Services', 'SQL', 'ETL', 'SSIS']",2025-07-01 05:49:17
"Data Engineer - Bangalore, Chennai",Vantageiq Technologies Opc,2 - 5 years,10-17 Lacs P.A.,"['Chennai', 'Bengaluru']","Role & responsibilities\n\nHave strong data engineering knowledge and cloud development exposure.\nProficiency in python\nProficiency in both RDBMS (Mysql preferred) and NoSql datastores\nSpark, Cassandra, AWS data pipeline stack (Athena, S3, Glue data catalog etc.), Airflow etc\nare technologies you have used.\nVery comfortable with data lakes, warehouses, and ETL/ELT paradigms\nWorked in an agile development environment.• Optional\nBasic knowledge of statistical analysis, mathematical modelling and machine learning\nExperience Have used or are very hands-on with Microservices, Docker, Kubernetes,\nGradle/Ant,Kafka, GIT/bitbucket in an agile workplace.\nDevelop high quality code with strong unit/integration tests. Comfort with test-driven\ndevelopment is a plus.\nComfortable with exploring proven open-source tech stack like Grafana, Kibana, Jira,\nPrometheus, caches like Redis/Memcached, task queues like celery, to name a few.\nProficiency in SQL, Python, Java, Spring boot, Hibernate, REST API development will be a\ngood plus.\n\n\n\nPreferred candidate profile\nLast organization preference: Product based , Fintech, NBFC\nMinimum 2 years of relevant experience in Data Engineering.",Industry Type: IT Services & Consulting,Department: Engineering - Software & QA,"Employment Type: Full Time, Permanent","['Pyspark', 'Glue', 'Aws Glue', 'Python']",2025-07-01 05:49:19
Data Scientist Consultant,Confidential,7 - 12 years,18-33 Lacs P.A.,"['Hyderabad', 'Pune', 'Bengaluru']",We are looking for a data scientist who analyzes large amounts of raw information to find patterns that can help improve the business. We rely on our customers to create data products.,Industry Type: IT Services & Consulting,Department: Data Science & Analytics,"Employment Type: Full Time, Permanent","['Data Science', 'Data Structures', 'Big Data', 'Data Quality', 'Data Management', 'Data Analysis', 'Data Extraction', 'Data Maintenance', 'Data Mining', 'Data Analytics', 'Predictive Analytics']",2025-07-01 05:49:21
"Software Engineer II, Google Cloud",Google,1 - 4 years,Not Disclosed,['New Delhi'],"Note: By applying to this position you will have an opportunity to share your preferred working location from the following: Bengaluru, Karnataka, India; New Delhi, Delhi, India\nMinimum qualifications:\nBachelors degree or equivalent practical experience\n\n1 year of experience with software development in one or more programming languages (e\ng\n, Python, C, C++, Java, JavaScript)\n\nPreferred qualifications:\nMaster's degree or PhD in Computer Science or related technical field\n\nExperience developing accessible technologies\n\nAbout The Job\nGoogle's software engineers develop the next-generation technologies that change how billions of users connect, explore, and interact with information and one another\nOur products need to handle information at massive scale, and extend well beyond web search\nWe're looking for engineers who bring fresh ideas from all areas, including information retrieval, distributed computing, large-scale system design, networking and data storage, security, artificial intelligence, natural language processing, UI design and mobile; the list goes on and is growing every day\nAs a software engineer, you will work on a specific project critical to Googles needs with opportunities to switch teams and projects as you and our fast-paced business grow and evolve\nWe need our engineers to be versatile, display leadership qualities and be enthusiastic to take on new problems across the full-stack as we continue to push technology forward\n\nWith your technical expertise you will manage project priorities, deadlines, and deliverables\nYou will design, develop, test, deploy, maintain, and enhance software solutions\n\nGoogle Cloud accelerates every organizations ability to digitally transform its business and industry\nWe deliver enterprise-grade solutions that leverage Googles cutting-edge technology, and tools that help developers build more sustainably\nCustomers in more than 200 countries and territories turn to Google Cloud as their trusted partner to enable growth and solve their most critical business problems\n\nResponsibilities\nWrite product or system development code\n\nParticipate in, or lead design reviews with peers and stakeholders to decide amongst available technologies\n\nReview code developed by other developers and provide feedback to ensure best practices (e\ng\n, style guidelines, checking code in, accuracy, testability, and efficiency)\n\nContribute to existing documentation or educational content and adapt content based on product/program updates and user feedback\n\nTriage product or system issues and debug/track/resolve by analyzing the sources of issues and the impact on hardware, network, or service operations and quality\n\nGoogle is proud to be an equal opportunity workplace and is an affirmative action employer\nWe are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status\nWe also consider qualified applicants regardless of criminal histories, consistent with legal requirements\nSee also Google's EEO Policy and EEO is the Law\nIf you have a disability or special need that requires accommodation, please let us know by completing our Accommodations for Applicants form",,,,"['c++', 'python', 'java', 'gcp', 'programming', 'javascript', 'artificial intelligence']",2025-07-01 05:49:23
AI Engineer I,Adobe,2 - 5 years,Not Disclosed,['Bengaluru'],"Platform Development and Evangelism:\nBuild scalable AI platforms that are customer-facing.\nEvangelize the platform with customers and internal stakeholders.\nEnsure platform scalability, reliability, and performance to meet business needs.\nMachine Learning Pipeline Design:\nDesign ML pipelines for experiment management, model management, feature management, and model retraining.\nImplement A/B testing of models.\nDesign APIs for model inferencing at scale.\nProven expertise with MLflow, SageMaker, Vertex AI, and Azure AI.\nLLM Serving and GPU Architecture:\nServe as an SME in LLM serving paradigms.\nPossess deep knowledge of GPU architectures.\nExpertise in distributed training and serving of large language models.\nProficient in model and data parallel training using frameworks like DeepSpeed and service frameworks like vLLM.\nModel Fine-Tuning and Optimization:\nDemonstrate proven expertise in model fine-tuning and optimization techniques.\nAchieve better latencies and accuracies in model results.\nReduce training and resource requirements for fine-tuning LLM and LVM models.\nLLM Models and Use Cases:\nHave extensive knowledge of different LLM models.\nProvide insights on the applicability of each model based on use cases.\nProven experience in delivering end-to-end solutions from engineering to production for specific customer use cases.\nDevOps and LLMOps Proficiency:\nProven expertise in DevOps and LLMOps practices.\nKnowledgeable in Kubernetes, Docker, and container orchestration.\nDeep understanding of LLM orchestration frameworks like Flowise, Langflow, and Langgraph.\nSkill Matrix\nLLM: Hugging Face OSS LLMs, GPT, Gemini, Claude, Mixtral, Llama\nLLM Ops: ML Flow, Langchain, Langraph, LangFlow, Flowise, LLamaIndex, SageMaker, AWS Bedrock, Vertex AI, Azure AI\nDatabases/Datawarehouse: DynamoDB, Cosmos, MongoDB, RDS, MySQL, PostGreSQL, Aurora, Spanner, Google BigQuery.\nCloud Knowledge: AWS/Azure/GCP\nDev Ops (Knowledge): Kubernetes, Docker, FluentD, Kibana, Grafana, Prometheus\nCloud Certifications (Bonus): AWS Professional Solution Architect, AWS Machine Learning Specialty, Azure Solutions Architect Expert\nProficient in Python, SQL, Javascript\n.",Industry Type: IT Services & Consulting,Department: Engineering - Software & QA,"Employment Type: Full Time, Permanent","['GCP', 'Postgresql', 'MySQL', 'Machine learning', 'Javascript', 'Adobe', 'Cosmos', 'Data warehousing', 'SQL', 'Python']",2025-07-01 05:49:25
